,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2015-02-24,204.11,207.29,201.7,-1.56,207.29,207.335,6603560,20150224,1,148,9.867849197354412,10.072503531186372
2015-02-25,203.76,207.14,202.58,-0.17,204.94,204.11,3909520,20150225,2,149,9.624380187956584,9.692681850387343
2015-02-26,207.19,211.09,202.22,1.68,204.0,203.76,6472855,20150226,3,150,9.588457321863412,9.633918861073962
2015-02-27,203.34,208.55,202.8,-1.86,206.9,207.19,3882084,20150227,4,151,9.405673639869917,9.356496085282966
2015-03-02,197.325,203.34,195.825,-2.96,202.7,203.34,7922065,20150302,0,152,9.498974895114207,9.499960650619897
2015-03-03,199.56,200.24,195.32,1.13,196.81,197.325,4432329,20150303,1,153,9.428547519156387,9.394249175575618
2015-03-04,202.435,202.52,197.21,1.44,199.25,199.56,4221962,20150304,2,154,9.232426208720373,9.102517091605934
2015-03-05,200.63,206.19,200.15,-0.89,202.85,202.435,4877015,20150305,3,155,9.108501151162258,8.925908727919795
2015-03-06,193.88,200.75,192.15,-3.36,199.21,200.63,6712388,20150306,4,156,9.164524905868817,9.022986675925523
2015-03-09,190.88,194.49,188.25,-1.55,194.39,193.88,6736724,20150309,0,157,9.31764276749411,9.262773341930844
2015-03-10,190.32,193.5,187.6,-0.29,188.46,190.88,5579691,20150310,1,158,9.172993111899151,9.049718103221498
2015-03-11,193.74,196.18,191.01,1.8,191.15,190.32,4974871,20150311,2,159,8.988564868475382,8.781881095848535
2015-03-12,191.07,194.45,189.75,-1.38,193.75,193.74,4149294,20150312,3,160,8.784347493786077,8.490318160430782
2015-03-13,188.68,191.75,187.32,-1.25,188.95,191.07,5434298,20150313,4,161,8.671759517891504,8.342438291828584
2015-03-16,195.7,195.91,189.8,3.72,192.0,188.68,5628783,20150316,0,162,8.549770969420479,8.182978413840827
2015-03-17,194.73,198.71,193.94,-0.5,195.43,195.7,4894052,20150317,1,163,8.620258066114742,8.314908527137911
2015-03-18,200.71,200.88,193.11,3.07,194.96,194.73,4820936,20150318,2,164,8.579769586775942,8.275986489485202
2015-03-19,195.65,204.59,194.53,-2.52,202.0,200.71,8475244,20150319,3,165,8.650256749310424,8.403416025950545
2015-03-20,198.08,198.99,195.62,1.24,197.45,195.65,4269467,20150320,4,166,8.480720713628974,8.166743452668364
2015-03-23,199.63,200.5,197.47,0.78,198.5,198.08,2631626,20150323,0,167,8.307829251075214,7.929833206049193
2015-03-24,201.72,203.79,199.75,1.05,201.58,199.63,3649860,20150324,1,168,8.184123096262107,7.771273691331393
2015-03-25,194.3,198.59,192.7,-3.68,198.27,201.72,5730389,20150325,2,169,8.124402948821054,7.711182713379152
2015-03-26,190.405,194.79,189.7,-2.0,193.92,194.3,4127956,20150326,3,170,8.309907570305768,8.018955376709213
2015-03-27,185.0,189.29,181.4,-2.84,189.07,190.405,8604947,20150327,4,171,8.528483400291206,8.367601421229983
